Year,Revenue Type,Transit Agency,Value,Dollar Type
1995,Fares,Community Transit,10110526.26479427,Constant
1996,Fares,Community Transit,10394336.396218242,Constant
1997,Fares,Community Transit,12026550.540089883,Constant
1998,Fares,Community Transit,13178952.745977318,Constant
1999,Fares,Community Transit,14681173.785222324,Constant
2000,Fares,Community Transit,16966507.99609754,Constant
2001,Fares,Community Transit,15765049.999146078,Constant
2002,Fares,Community Transit,16165280.001665173,Constant
2003,Fares,Community Transit,15239739.999367284,Constant
2004,Fares,Community Transit,18671119.99851612,Constant
2005,Fares,Community Transit,19968960.00606062,Constant
2006,Fares,Community Transit,20922019.99759625,Constant
2007,Fares,Community Transit,23491103.99827499,Constant
2008,Fares,Community Transit,21044520.003003582,Constant
2009,Fares,Community Transit,21167783.996849537,Constant
2010,Fares,Community Transit,22907273.99955534,Constant
2011,Fares,Community Transit,21800790.00518873,Constant
2012,Fares,Community Transit,19869009.995613333,Constant
2013,Fares,Community Transit,21514290.00296721,Constant
2014,Fares,Community Transit,21529530.00488806,Constant
2015,Fares,Community Transit,22421322.00051717,Constant
2016,Fares,Community Transit,23119007.9948548,Constant
2017,Fares,Community Transit,22368255.999995995,Constant
2018,Fares,Community Transit,22399000.002965655,Constant
2019,Fares,Community Transit,22417488.141267087,Constant
2020,Fares,Community Transit,22450850.979676038,Constant
2021,Fares,Community Transit,25888471.78794516,Constant
2022,Fares,Community Transit,26043026.145354502,Constant
2023,Fares,Community Transit,26279875.845907636,Constant
2024,Fares,Community Transit,30391618.197619002,Constant
2025,Fares,Community Transit,30630964.295920104,Constant
2026,Fares,Community Transit,30786758.340662133,Constant
2027,Fares,Community Transit,35498952.47741774,Constant
2028,Fares,Community Transit,35712400.54806352,Constant
2029,Fares,Community Transit,35843079.52709406,Constant
2030,Fares,Community Transit,41221949.60604296,Constant
2031,Fares,Community Transit,41117153.06977368,Constant
2032,Fares,Community Transit,41003139.83519398,Constant
2033,Fares,Community Transit,46790355.02928844,Constant
2034,Fares,Community Transit,46522481.59319001,Constant
2035,Fares,Community Transit,46125012.285398155,Constant
2036,Fares,Community Transit,52387747.48940536,Constant
2037,Fares,Community Transit,51767594.81289036,Constant
2038,Fares,Community Transit,51126380.748949684,Constant
2039,Fares,Community Transit,57819411.937752485,Constant
2040,Fares,Community Transit,57033072.51900015,Constant
2041,Fares,Community Transit,56190980.30568161,Constant
2042,Fares,Community Transit,63475056.05420914,Constant
2043,Fares,Community Transit,62450674.431928016,Constant
2044,Fares,Community Transit,61396482.67120094,Constant
2045,Fares,Community Transit,69421536.49832843,Constant
2046,Fares,Community Transit,68309383.69791155,Constant
2047,Fares,Community Transit,67282077.2194314,Constant
2048,Fares,Community Transit,76381503.01414381,Constant
2049,Fares,Community Transit,75410356.36952823,Constant
2050,Fares,Community Transit,74681712.64422548,Constant
1989,Fares,Everett Transit,636064.0004602723,Constant
1990,Fares,Everett Transit,655119.9993786402,Constant
1991,Fares,Everett Transit,677375.9994620667,Constant
1992,Fares,Everett Transit,693650.9989126816,Constant
1993,Fares,Everett Transit,828258.000330594,Constant
1994,Fares,Everett Transit,734231.001075566,Constant
1995,Fares,Everett Transit,975662.7473800408,Constant
1996,Fares,Everett Transit,1053691.8000844503,Constant
1997,Fares,Everett Transit,1171796.49421401,Constant
1998,Fares,Everett Transit,1208614.7323781592,Constant
1999,Fares,Everett Transit,1101616.431917807,Constant
2000,Fares,Everett Transit,1192828.0002493102,Constant
2001,Fares,Everett Transit,1176929.9996047174,Constant
2002,Fares,Everett Transit,1152630.0005305514,Constant
2003,Fares,Everett Transit,1430039.9992000046,Constant
2004,Fares,Everett Transit,1505289.999872658,Constant
2005,Fares,Everett Transit,1435939.9996020435,Constant
2006,Fares,Everett Transit,1393420.0000220926,Constant
2007,Fares,Everett Transit,1366560.0002562394,Constant
2008,Fares,Everett Transit,1350475.9997642634,Constant
2009,Fares,Everett Transit,1334123.9995473174,Constant
2010,Fares,Everett Transit,1558779.0005720041,Constant
2011,Fares,Everett Transit,1495109.9998545432,Constant
2012,Fares,Everett Transit,1487639.9993033889,Constant
2013,Fares,Everett Transit,1791930.000134339,Constant
2014,Fares,Everett Transit,1698839.186966109,Constant
2015,Fares,Everett Transit,1633169.9992673183,Constant
2016,Fares,Everett Transit,1469951.2897908825,Constant
2017,Fares,Everett Transit,1341440.0005424796,Constant
2018,Fares,Everett Transit,1223999.999875213,Constant
2019,Fares,Everett Transit,1231179.2267596908,Constant
2020,Fares,Everett Transit,1239221.938820914,Constant
2021,Fares,Everett Transit,1254164.3076659883,Constant
2022,Fares,Everett Transit,1574046.106677286,Constant
2023,Fares,Everett Transit,1599458.7292275648,Constant
2024,Fares,Everett Transit,1623428.779742976,Constant
2025,Fares,Everett Transit,1647643.1930918542,Constant
2026,Fares,Everett Transit,2063232.8775615674,Constant
2027,Fares,Everett Transit,2085130.127559179,Constant
2028,Fares,Everett Transit,2109420.138929927,Constant
2029,Fares,Everett Transit,2129005.095296964,Constant
2030,Fares,Everett Transit,2658811.552294848,Constant
2031,Fares,Everett Transit,2663623.8610829622,Constant
2032,Fares,Everett Transit,2667812.8602474504,Constant
2033,Fares,Everett Transit,2664984.664849077,Constant
2034,Fares,Everett Transit,3297170.3706443785,Constant
2035,Fares,Everett Transit,3283253.3723958475,Constant
2036,Fares,Everett Transit,3261919.668024362,Constant
2037,Fares,Everett Transit,3234929.7252237545,Constant
2038,Fares,Everett Transit,3972568.993858624,Constant
2039,Fares,Everett Transit,3929827.9517962937,Constant
2040,Fares,Everett Transit,3890354.394198609,Constant
2041,Fares,Everett Transit,3845070.181079149,Constant
2042,Fares,Everett Transit,4705188.59398592,Constant
2043,Fares,Everett Transit,4643936.172818972,Constant
2044,Fares,Everett Transit,4580038.421879308,Constant
2045,Fares,Everett Transit,4527951.174558939,Constant
2046,Fares,Everett Transit,5536448.872186393,Constant
2047,Fares,Everett Transit,5469367.819747923,Constant
2048,Fares,Everett Transit,5427815.155713491,Constant
2049,Fares,Everett Transit,5374709.816941849,Constant
2050,Fares,Everett Transit,6614240.491919472,Constant
1989,Fares,King County Metro,84051967.958744,Constant
1990,Fares,King County Metro,88432580.04602681,Constant
1991,Fares,King County Metro,97276031.9846871,Constant
1992,Fares,King County Metro,99417481.05486171,Constant
1993,Fares,King County Metro,105364628.99078764,Constant
1994,Fares,King County Metro,99476399.00914691,Constant
1995,Fares,King County Metro,97635637.99638991,Constant
1996,Fares,King County Metro,95938302.57943933,Constant
1997,Fares,King County Metro,94264048.23885727,Constant
1998,Fares,King County Metro,100457621.95341837,Constant
1999,Fares,King County Metro,102709326.21386825,Constant
2000,Fares,King County Metro,104169623.99109155,Constant
2001,Fares,King County Metro,106403190.06449817,Constant
2002,Fares,King County Metro,108019929.95932965,Constant
2003,Fares,King County Metro,99696220.02370965,Constant
2004,Fares,King County Metro,109692830.01351817,Constant
2005,Fares,King County Metro,105338947.97282323,Constant
2006,Fares,King County Metro,103527479.9464418,Constant
2007,Fares,King County Metro,109157567.97410415,Constant
2008,Fares,King County Metro,132019765.9554361,Constant
2009,Fares,King County Metro,145960055.96049097,Constant
2010,Fares,King County Metro,154049218.02064875,Constant
2011,Fares,King County Metro,161877529.9458964,Constant
2012,Fares,King County Metro,172915609.96311015,Constant
2013,Fares,King County Metro,177534629.9353492,Constant
2014,Fares,King County Metro,184694399.94854566,Constant
2015,Fares,King County Metro,181507172.01833096,Constant
2016,Fares,King County Metro,182733408.05361813,Constant
2017,Fares,King County Metro,177872895.98059094,Constant
2018,Fares,King County Metro,175944000.00371563,Constant
2019,Fares,King County Metro,173287780.13538086,Constant
2020,Fares,King County Metro,170784933.91816428,Constant
2021,Fares,King County Metro,192462159.9372272,Constant
2022,Fares,King County Metro,192877315.22047403,Constant
2023,Fares,King County Metro,193893610.29408047,Constant
2024,Fares,King County Metro,219137502.68108293,Constant
2025,Fares,King County Metro,220026038.75051275,Constant
2026,Fares,King County Metro,220415548.35077208,Constant
2027,Fares,King County Metro,248502615.48031262,Constant
2028,Fares,King County Metro,249172339.71022204,Constant
2029,Fares,King County Metro,249259207.92416003,Constant
2030,Fares,King County Metro,280293046.595822,Constant
2031,Fares,King County Metro,278865023.8553697,Constant
2032,Fares,King County Metro,277380794.81947446,Constant
2033,Fares,King County Metro,309724414.3504374,Constant
2034,Fares,King County Metro,307163425.3079288,Constant
2035,Fares,King County Metro,303760338.93912417,Constant
2036,Fares,King County Metro,337683674.19853306,Constant
2037,Fares,King County Metro,332929467.7734122,Constant
2038,Fares,King County Metro,328060075.09651977,Constant
2039,Fares,King County Metro,363134759.2495191,Constant
2040,Fares,King County Metro,357384077.2813341,Constant
2041,Fares,King County Metro,351383756.6291269,Constant
2042,Fares,King County Metro,388594411.8689943,Constant
2043,Fares,King County Metro,381537605.68547195,Constant
2044,Fares,King County Metro,374326021.03781074,Constant
2045,Fares,King County Metro,414362179.88560253,Constant
2046,Fares,King County Metro,407053453.98753715,Constant
2047,Fares,King County Metro,400272350.0704108,Constant
2048,Fares,King County Metro,445043212.8890065,Constant
2049,Fares,King County Metro,438662339.7613018,Constant
2050,Fares,King County Metro,433709592.3192603,Constant
1989,Fares,Kitsap Transit,1695407.9980816217,Constant
1990,Fares,Kitsap Transit,1683055.00045664,Constant
1991,Fares,Kitsap Transit,2526047.996942938,Constant
1992,Fares,Kitsap Transit,2714371.0017921454,Constant
1993,Fares,Kitsap Transit,2225706.9996935916,Constant
1994,Fares,Kitsap Transit,2191706.99641061,Constant
1995,Fares,Kitsap Transit,2512211.071828475,Constant
1996,Fares,Kitsap Transit,3500653.8019974953,Constant
1997,Fares,Kitsap Transit,2828269.834468564,Constant
1998,Fares,Kitsap Transit,2770350.959800783,Constant
1999,Fares,Kitsap Transit,2320540.451152283,Constant
2000,Fares,Kitsap Transit,4213351.99744464,Constant
2001,Fares,Kitsap Transit,3065829.998870835,Constant
2002,Fares,Kitsap Transit,2632550.000991285,Constant
2003,Fares,Kitsap Transit,2775959.9984346176,Constant
2004,Fares,Kitsap Transit,3328209.998820714,Constant
2005,Fares,Kitsap Transit,3514698.002816053,Constant
2006,Fares,Kitsap Transit,4839414.997830722,Constant
2007,Fares,Kitsap Transit,4863455.99924364,Constant
2008,Fares,Kitsap Transit,5588012.00143412,Constant
2009,Fares,Kitsap Transit,7597260.002202802,Constant
2010,Fares,Kitsap Transit,9457305.999341683,Constant
2011,Fares,Kitsap Transit,9179279.999302262,Constant
2012,Fares,Kitsap Transit,8091859.9993583895,Constant
2013,Fares,Kitsap Transit,7579530.001506804,Constant
2014,Fares,Kitsap Transit,7328969.999916336,Constant
2015,Fares,Kitsap Transit,7191338.000041367,Constant
2016,Fares,Kitsap Transit,5740416.001326792,Constant
2017,Fares,Kitsap Transit,5935103.998267794,Constant
2018,Fares,Kitsap Transit,6584000.0008154595,Constant
2019,Fares,Kitsap Transit,6534590.765887771,Constant
2020,Fares,Kitsap Transit,6489822.568387686,Constant
2021,Fares,Kitsap Transit,6491009.399153251,Constant
2022,Fares,Kitsap Transit,6498217.45130732,Constant
2023,Fares,Kitsap Transit,6525617.836946913,Constant
2024,Fares,Kitsap Transit,8147412.340879559,Constant
2025,Fares,Kitsap Transit,8171883.838499486,Constant
2026,Fares,Kitsap Transit,8178723.383592123,Constant
2027,Fares,Kitsap Transit,8184759.3363066865,Constant
2028,Fares,Kitsap Transit,8199145.860619032,Constant
2029,Fares,Kitsap Transit,8194366.849476487,Constant
2030,Fares,Kitsap Transit,10180493.774915352,Constant
2031,Fares,Kitsap Transit,10121118.447746154,Constant
2032,Fares,Kitsap Transit,10059781.604572572,Constant
2033,Fares,Kitsap Transit,9972443.67699403,Constant
2034,Fares,Kitsap Transit,9882625.127049753,Constant
2035,Fares,Kitsap Transit,9765867.934330102,Constant
2036,Fares,Kitsap Transit,11998037.72813219,Constant
2037,Fares,Kitsap Transit,11821527.65355581,Constant
2038,Fares,Kitsap Transit,11641164.895505095,Constant
2039,Fares,Kitsap Transit,11441115.193260321,Constant
2040,Fares,Kitsap Transit,11252696.136206651,Constant
2041,Fares,Kitsap Transit,11056981.476985335,Constant
2042,Fares,Kitsap Transit,13514010.03762936,Constant
2043,Fares,Kitsap Transit,13260436.13749343,Constant
2044,Fares,Kitsap Transit,13001829.770592272,Constant
2045,Fares,Kitsap Transit,12779196.049478194,Constant
2046,Fares,Kitsap Transit,12547430.953176456,Constant
2047,Fares,Kitsap Transit,12332168.060592812,Constant
2048,Fares,Kitsap Transit,15155293.389107184,Constant
2049,Fares,Kitsap Transit,14930419.540219378,Constant
2050,Fares,Kitsap Transit,14754355.64767856,Constant
1989,Fares,Pierce Transit,8060623.990816041,Constant
1990,Fares,Pierce Transit,8059699.992610486,Constant
1991,Fares,Pierce Transit,9372383.991790233,Constant
1992,Fares,Pierce Transit,9759689.009635948,Constant
1993,Fares,Pierce Transit,10345661.00889711,Constant
1994,Fares,Pierce Transit,10173035.996100469,Constant
1995,Fares,Pierce Transit,11184044.623147957,Constant
1996,Fares,Pierce Transit,12490354.789695285,Constant
1997,Fares,Pierce Transit,13157411.214343628,Constant
1998,Fares,Pierce Transit,14311871.191972243,Constant
1999,Fares,Pierce Transit,14949200.607216232,Constant
2000,Fares,Pierce Transit,11129039.996146878,Constant
2001,Fares,Pierce Transit,9197490.01016023,Constant
2002,Fares,Pierce Transit,10131759.99791933,Constant
2003,Fares,Pierce Transit,10472939.993819116,Constant
2004,Fares,Pierce Transit,12939969.991699915,Constant
2005,Fares,Pierce Transit,12206831.999347065,Constant
2006,Fares,Pierce Transit,14911924.999302765,Constant
2007,Fares,Pierce Transit,15440256.001898352,Constant
2008,Fares,Pierce Transit,16846353.00317506,Constant
2009,Fares,Pierce Transit,18700308.005913794,Constant
2010,Fares,Pierce Transit,17247634.00219745,Constant
2011,Fares,Pierce Transit,15646500.005176485,Constant
2012,Fares,Pierce Transit,13771940.005752632,Constant
2013,Fares,Pierce Transit,13656509.994504869,Constant
2014,Fares,Pierce Transit,13296690.003890831,Constant
2015,Fares,Pierce Transit,13614062.002521925,Constant
2016,Fares,Pierce Transit,12580127.997426532,Constant
2017,Fares,Pierce Transit,12429312.001890857,Constant
2018,Fares,Pierce Transit,12013999.996931855,Constant
2019,Fares,Pierce Transit,11952665.170672584,Constant
2020,Fares,Pierce Transit,11899508.513548795,Constant
2021,Fares,Pierce Transit,11951658.211124437,Constant
2022,Fares,Pierce Transit,12015179.608943684,Constant
2023,Fares,Pierce Transit,14409074.599789737,Constant
2024,Fares,Pierce Transit,14514180.999577338,Constant
2025,Fares,Pierce Transit,14618930.937832728,Constant
2026,Fares,Pierce Transit,14681262.686945157,Constant
2027,Fares,Pierce Transit,14742407.976641983,Constant
2028,Fares,Pierce Transit,17622767.246341724,Constant
2029,Fares,Pierce Transit,17672782.120593242,Constant
2030,Fares,Pierce Transit,17700348.255780745,Constant
2031,Fares,Pierce Transit,17649898.140038516,Constant
2032,Fares,Pierce Transit,17595543.33795417,Constant
2033,Fares,Pierce Transit,20805311.383954555,Constant
2034,Fares,Pierce Transit,20679786.980072003,Constant
2035,Fares,Pierce Transit,20496790.021419298,Constant
2036,Fares,Pierce Transit,20281788.551393453,Constant
2037,Fares,Pierce Transit,20033332.037726488,Constant
2038,Fares,Pierce Transit,23518869.655421697,Constant
2039,Fares,Pierce Transit,23172469.05318068,Constant
2040,Fares,Pierce Transit,22847802.84409412,Constant
2041,Fares,Pierce Transit,22502669.40216179,Constant
2042,Fares,Pierce Transit,22147697.47815945,Constant
2043,Fares,Pierce Transit,25904169.524595328,Constant
2044,Fares,Pierce Transit,25458046.32999996,Constant
2045,Fares,Pierce Transit,25080401.77075663,Constant
2046,Fares,Pierce Transit,24676434.361644898,Constant
2047,Fares,Pierce Transit,24303160.24650446,Constant
2048,Fares,Pierce Transit,28594337.827120606,Constant
2049,Fares,Pierce Transit,28228283.011337534,Constant
2050,Fares,Pierce Transit,27953073.187087532,Constant
2016,PSRC FHWA,Community Transit,642240.192,Constant
2017,PSRC FHWA,Community Transit,625878.0160000001,Constant
2018,PSRC FHWA,Community Transit,619709.0,Constant
2019,PSRC FHWA,Community Transit,680911.119,Constant
2020,PSRC FHWA,Community Transit,687300.804,Constant
2021,PSRC FHWA,Community Transit,633666.3701199999,Constant
2022,PSRC FHWA,Community Transit,642685.4660392499,Constant
2023,PSRC FHWA,Community Transit,653857.4134982656,Constant
2024,PSRC FHWA,Community Transit,664469.4843537052,Constant
2025,PSRC FHWA,Community Transit,675203.4978684804,Constant
2026,PSRC FHWA,Community Transit,685305.8352957836,Constant
2027,PSRC FHWA,Community Transit,695491.287408284,Constant
2028,PSRC FHWA,Community Transit,706548.9041586986,Constant
2029,PSRC FHWA,Community Transit,716102.7429243383,Constant
2030,PSRC FHWA,Community Transit,724861.4174697322,Constant
2031,PSRC FHWA,Community Transit,731906.3721865395,Constant
2032,PSRC FHWA,Community Transit,738850.5362532685,Constant
2033,PSRC FHWA,Community Transit,743894.1081762739,Constant
2034,PSRC FHWA,Community Transit,748728.0771102712,Constant
2035,PSRC FHWA,Community Transit,751457.8148914024,Constant
2036,PSRC FHWA,Community Transit,753856.0845133961,Constant
2037,PSRC FHWA,Community Transit,754916.4958854737,Constant
2038,PSRC FHWA,Community Transit,755558.7677733343,Constant
2039,PSRC FHWA,Community Transit,754723.1967499923,Constant
2040,PSRC FHWA,Community Transit,754437.7099836838,Constant
2041,PSRC FHWA,Community Transit,753666.2468810912,Constant
2042,PSRC FHWA,Community Transit,752384.6870546291,Constant
2043,PSRC FHWA,Community Transit,750568.0078325431,Constant
2044,PSRC FHWA,Community Transit,748190.2542199438,Constant
2045,PSRC FHWA,Community Transit,747632.3415499994,Constant
2046,PSRC FHWA,Community Transit,746578.9143376704,Constant
2047,PSRC FHWA,Community Transit,746270.4106540598,Constant
2048,PSRC FHWA,Community Transit,749369.3301559283,Constant
2049,PSRC FHWA,Community Transit,750827.8777275985,Constant
2050,PSRC FHWA,Community Transit,754615.2395887024,Constant
2016,PSRC FTA,Community Transit,11976270.24,Constant
2017,PSRC FTA,Community Transit,12142932.992,Constant
2018,PSRC FTA,Community Transit,15562445.0,Constant
2019,PSRC FTA,Community Transit,13443573.969,Constant
2020,PSRC FTA,Community Transit,13249464.389999999,Constant
2021,PSRC FTA,Community Transit,12924358.197519999,Constant
2022,PSRC FTA,Community Transit,13108313.085730497,Constant
2023,PSRC FTA,Community Transit,13336177.869996779,Constant
2024,PSRC FTA,Community Transit,13552623.323662234,Constant
2025,PSRC FTA,Community Transit,13771555.938842213,Constant
2026,PSRC FTA,Community Transit,13977604.789940232,Constant
2027,PSRC FTA,Community Transit,14185348.861131376,Constant
2028,PSRC FTA,Community Transit,14410881.738418508,Constant
2029,PSRC FTA,Community Transit,14605743.325194994,Constant
2030,PSRC FTA,Community Transit,14784386.618413685,Constant
2031,PSRC FTA,Community Transit,14928076.614504343,Constant
2032,PSRC FTA,Community Transit,15069710.868763028,Constant
2033,PSRC FTA,Community Transit,15172580.348984191,Constant
2034,PSRC FTA,Community Transit,15271174.733923439,Constant
2035,PSRC FTA,Community Transit,15326850.891807536,Constant
2036,PSRC FTA,Community Transit,15375766.373377133,Constant
2037,PSRC FTA,Community Transit,15397394.68924761,Constant
2038,PSRC FTA,Community Transit,15410494.56692825,Constant
2039,PSRC FTA,Community Transit,15393452.129907181,Constant
2040,PSRC FTA,Community Transit,15387629.297258314,Constant
2041,PSRC FTA,Community Transit,15371894.415395811,Constant
2042,PSRC FTA,Community Transit,15345755.521129401,Constant
2043,PSRC FTA,Community Transit,15308702.248140046,Constant
2044,PSRC FTA,Community Transit,15260205.214300517,Constant
2045,PSRC FTA,Community Transit,15248825.940396603,Constant
2046,PSRC FTA,Community Transit,15227340.074538553,Constant
2047,PSRC FTA,Community Transit,15221047.785251552,Constant
2048,PSRC FTA,Community Transit,15284253.831139458,Constant
2049,PSRC FTA,Community Transit,15314002.59508415,Constant
2050,PSRC FTA,Community Transit,15391250.218793867,Constant
2018,Non-PSRC FTA,Community Transit,43190000.0,Constant
2019,Non-PSRC FTA,Community Transit,1348875.0,Constant
2021,Non-PSRC FTA,Community Transit,8587205.815553091,Constant
2022,Non-PSRC FTA,Community Transit,8580234.390580826,Constant
2023,Non-PSRC FTA,Community Transit,8588349.963676058,Constant
2024,Non-PSRC FTA,Community Transit,8581691.767991988,Constant
2025,Non-PSRC FTA,Community Transit,8581501.661417892,Constant
2026,Non-PSRC FTA,Community Transit,8580476.170418356,Constant
2027,Non-PSRC FTA,Community Transit,8579820.366531871,Constant
2028,Non-PSRC FTA,Community Transit,8586243.79973518,Constant
2029,Non-PSRC FTA,Community Transit,8584164.74830906,Constant
2030,Non-PSRC FTA,Community Transit,8585702.825322984,Constant
2031,Non-PSRC FTA,Community Transit,8579633.130694631,Constant
2032,Non-PSRC FTA,Community Transit,8587143.297283761,Constant
2033,Non-PSRC FTA,Community Transit,8579614.31141968,Constant
2034,Non-PSRC FTA,Community Transit,8583258.233403718,Constant
2035,Non-PSRC FTA,Community Transit,8580546.9819275,Constant
2036,Non-PSRC FTA,Community Transit,8584310.198976493,Constant
2037,Non-PSRC FTA,Community Transit,8583134.472748099,Constant
2038,Non-PSRC FTA,Community Transit,8583887.2437462,Constant
2039,Non-PSRC FTA,Community Transit,8583009.117238669,Constant
2040,Non-PSRC FTA,Community Transit,8587830.360304913,Constant
2041,Non-PSRC FTA,Community Transit,8586685.893211186,Constant
2042,Non-PSRC FTA,Community Transit,8585190.2393086,Constant
2043,Non-PSRC FTA,Community Transit,8581420.323873607,Constant
2044,Non-PSRC FTA,Community Transit,8578037.957914332,Constant
2045,Non-PSRC FTA,Community Transit,8590370.005511226,Constant
2046,Non-PSRC FTA,Community Transit,8586139.496296037,Constant
2047,Non-PSRC FTA,Community Transit,8577449.13788785,Constant
2048,Non-PSRC FTA,Community Transit,8590676.217442658,Constant
2049,Non-PSRC FTA,Community Transit,8576597.485953556,Constant
2050,Non-PSRC FTA,Community Transit,8584915.605482599,Constant
2018,State,Community Transit,13800000.0,Constant
2021,State,Community Transit,2659114.557492038,Constant
2022,State,Community Transit,2656955.7857066174,Constant
2023,State,Community Transit,2659468.85445371,Constant
2024,State,Community Transit,2657407.0772644323,Constant
2025,State,Community Transit,2657348.20885374,Constant
2026,State,Community Transit,2657030.6552624996,Constant
2027,State,Community Transit,2656827.579000108,Constant
2028,State,Community Transit,2658816.659628531,Constant
2029,State,Community Transit,2658172.86046595,Constant
2030,State,Community Transit,2658649.141466558,Constant
2031,State,Community Transit,2656769.599541926,Constant
2032,State,Community Transit,2659095.198081811,Constant
2033,State,Community Transit,2656763.7719643577,Constant
2034,State,Community Transit,2657892.1490176446,Constant
2035,State,Community Transit,2657052.5827577584,Constant
2036,State,Community Transit,2658217.900726481,Constant
2037,State,Community Transit,2657853.8252871935,Constant
2038,State,Community Transit,2658086.928389938,Constant
2039,State,Community Transit,2657815.007694236,Constant
2040,State,Community Transit,2659307.9540493167,Constant
2041,State,Community Transit,2658953.5583151435,Constant
2042,State,Community Transit,2658490.4140571905,Constant
2043,State,Community Transit,2657323.021865944,Constant
2044,State,Community Transit,2656275.6382636107,Constant
2045,State,Community Transit,2660094.380703578,Constant
2046,State,Community Transit,2658784.3610206516,Constant
2047,State,Community Transit,2656093.3042264637,Constant
2048,State,Community Transit,2660189.2023046943,Constant
2049,State,Community Transit,2655829.581648358,Constant
2050,State,Community Transit,2658405.370933689,Constant
2016,PSRC FHWA,Everett Transit,446127.264,Constant
2017,PSRC FHWA,Everett Transit,434761.728,Constant
2018,PSRC FHWA,Everett Transit,430476.0,Constant
2019,PSRC FHWA,Everett Transit,472990.131,Constant
2020,PSRC FHWA,Everett Transit,477428.436,Constant
2021,PSRC FHWA,Everett Transit,440171.67039999994,Constant
2022,PSRC FHWA,Everett Transit,446436.7188599999,Constant
2023,PSRC FHWA,Everett Transit,454197.22976374987,Constant
2024,PSRC FHWA,Everett Transit,461568.82651419356,Constant
2025,PSRC FHWA,Everett Transit,469025.1298335571,Constant
2026,PSRC FHWA,Everett Transit,476042.6440176827,Constant
2027,PSRC FHWA,Everett Transit,483117.89320486854,Constant
2028,PSRC FHWA,Everett Transit,490798.98512513464,Constant
2029,PSRC FHWA,Everett Transit,497435.4887593854,Constant
2030,PSRC FHWA,Everett Transit,503519.6374327731,Constant
2031,PSRC FHWA,Everett Transit,508413.363266767,Constant
2032,PSRC FHWA,Everett Transit,513237.07561906514,Constant
2033,PSRC FHWA,Everett Transit,516740.5556565357,Constant
2034,PSRC FHWA,Everett Transit,520098.4365236178,Constant
2035,PSRC FHWA,Everett Transit,521994.6287401102,Constant
2036,PSRC FHWA,Everett Transit,523660.56904459983,Constant
2037,PSRC FHWA,Everett Transit,524397.1759831535,Constant
2038,PSRC FHWA,Everett Transit,524843.3254129821,Constant
2039,PSRC FHWA,Everett Transit,524262.9021643684,Constant
2040,PSRC FHWA,Everett Transit,524064.59088775876,Constant
2041,PSRC FHWA,Everett Transit,523528.69973346585,Constant
2042,PSRC FHWA,Everett Transit,522638.4736521535,Constant
2043,PSRC FHWA,Everett Transit,521376.53082944214,Constant
2044,PSRC FHWA,Everett Transit,519724.84181956254,Constant
2045,PSRC FHWA,Everett Transit,519337.29189826845,Constant
2046,PSRC FHWA,Everett Transit,518605.5364547724,Constant
2047,PSRC FHWA,Everett Transit,518391.23664632,Constant
2048,PSRC FHWA,Everett Transit,520543.87822222407,Constant
2049,PSRC FHWA,Everett Transit,521557.04753537284,Constant
2050,PSRC FHWA,Everett Transit,524187.9105185159,Constant
2016,PSRC FTA,Everett Transit,2325550.656,Constant
2017,PSRC FTA,Everett Transit,1808430.08,Constant
2018,PSRC FTA,Everett Transit,1430364.0,Constant
2019,PSRC FTA,Everett Transit,1404152.388,Constant
2020,PSRC FTA,Everett Transit,1380548.133,Constant
2021,PSRC FTA,Everett Transit,1612719.10184,Constant
2022,PSRC FTA,Everett Transit,1635673.2445184996,Constant
2023,PSRC FTA,Everett Transit,1664106.5241140309,Constant
2024,PSRC FTA,Everett Transit,1691114.8840107478,Constant
2025,PSRC FTA,Everett Transit,1718433.5953247293,Constant
2026,PSRC FTA,Everett Transit,1744144.65292616,Constant
2027,PSRC FTA,Everett Transit,1770067.2424105844,Constant
2028,PSRC FTA,Everett Transit,1798209.5434622287,Constant
2029,PSRC FTA,Everett Transit,1822524.6389127395,Constant
2030,PSRC FTA,Everett Transit,1844815.9934996676,Constant
2031,PSRC FTA,Everett Transit,1862745.82784016,Constant
2032,PSRC FTA,Everett Transit,1880419.14390174,Constant
2033,PSRC FTA,Everett Transit,1893255.3384124166,Constant
2034,PSRC FTA,Everett Transit,1905558.0806836884,Constant
2035,PSRC FTA,Everett Transit,1912505.4278528476,Constant
2036,PSRC FTA,Everett Transit,1918609.1685800373,Constant
2037,PSRC FTA,Everett Transit,1921307.9794309807,Constant
2038,PSRC FTA,Everett Transit,1922942.600094109,Constant
2039,PSRC FTA,Everett Transit,1920816.021481404,Constant
2040,PSRC FTA,Everett Transit,1920089.4404553964,Constant
2041,PSRC FTA,Everett Transit,1918126.0203646626,Constant
2042,PSRC FTA,Everett Transit,1914864.3733691077,Constant
2043,PSRC FTA,Everett Transit,1910240.8152610469,Constant
2044,PSRC FTA,Everett Transit,1904189.2890142275,Constant
2045,PSRC FTA,Everett Transit,1902769.367644868,Constant
2046,PSRC FTA,Everett Transit,1900088.331901407,Constant
2047,PSRC FTA,Everett Transit,1899303.1714336788,Constant
2048,PSRC FTA,Everett Transit,1907190.1083320049,Constant
2049,PSRC FTA,Everett Transit,1910902.1998058343,Constant
2050,PSRC FTA,Everett Transit,1920541.2639995452,Constant
2017,Non-PSRC FTA,Everett Transit,3439062.0160000003,Constant
