County,PopulationArea,Year,Population
Pierce County,Unincorp.,2025,414054
Pierce County,Total,2025,938893
Pierce County,PTBA,2025,607493
Pierce County,Sound Transit,2025,797252
Snohomish County,Cities,2025,510653
Snohomish County,Unincorp.,2025,385318
Snohomish County,Total,2025,895971
Snohomish County,PTBA,2025,639334
Snohomish County,Sound Transit,2025,538630
Snohomish County,City Transit,2025,128968
King County,Cities,2030,2230693
King County,Unincorp.,2030,263441
King County,Total,2030,2494134
King County,PTBA,2030,2493168
King County,Sound Transit,2030,2230373
Kitsap County,Cities,2030,100197
Kitsap County,Unincorp.,2030,195468
Kitsap County,Total,2030,295665
Kitsap County,PTBA,2030,295658
Pierce County,Cities,2030,569988
Pierce County,Unincorp.,2030,427463
Pierce County,Total,2030,997451
Pierce County,PTBA,2030,651852
Pierce County,Sound Transit,2030,852423
Snohomish County,Cities,2030,558328
Snohomish County,Unincorp.,2030,406421
Snohomish County,Total,2030,964749
Snohomish County,PTBA,2030,688831
Snohomish County,Sound Transit,2030,582532
Snohomish County,City Transit,2030,142889
King County,Cities,2035,2351847
King County,Unincorp.,2035,268980
King County,Total,2035,2620827
King County,PTBA,2035,2619851
King County,Sound Transit,2035,2351067
Kitsap County,Cities,2035,106291
Kitsap County,Unincorp.,2035,203243
Kitsap County,Total,2035,309534
Kitsap County,PTBA,2035,309529
Pierce County,Cities,2035,610614
Pierce County,Unincorp.,2035,439508
Pierce County,Total,2035,1050122
Pierce County,PTBA,2035,692732
Pierce County,Sound Transit,2035,901989
Snohomish County,Cities,2035,601232
Snohomish County,Unincorp.,2035,425461
Snohomish County,Total,2035,1026693
Snohomish County,PTBA,2035,733161
Snohomish County,Sound Transit,2035,622125
Snohomish County,City Transit,2035,155429
King County,Cities,2040,2468605
King County,Unincorp.,2040,274316
King County,Total,2040,2742921
King County,PTBA,2040,2741918
King County,Sound Transit,2040,2467500
Kitsap County,Cities,2040,112210
Kitsap County,Unincorp.,2040,210708
Kitsap County,Total,2040,322918
Kitsap County,PTBA,2040,322913
Pierce County,Cities,2040,649781
Pierce County,Unincorp.,2040,451139
Pierce County,Total,2040,1100920
Pierce County,PTBA,2040,731757
Pierce County,Sound Transit,2040,949816
Snohomish County,Cities,2040,642616
Snohomish County,Unincorp.,2040,443770
Snohomish County,Total,2040,1086386
Snohomish County,PTBA,2040,776083
Snohomish County,Sound Transit,2040,660593
Snohomish County,City Transit,2040,167519
King County,Cities,2045,2586373
King County,Unincorp.,2045,279618
King County,Total,2045,2865991
King County,PTBA,2045,2865017
King County,Sound Transit,2045,2584728
Kitsap County,Cities,2045,118141
Kitsap County,Unincorp.,2045,218244
Kitsap County,Total,2045,336385
Kitsap County,PTBA,2045,336376
Pierce County,Cities,2045,689264
Pierce County,Unincorp.,2045,462867
Pierce County,Total,2045,1152131
Pierce County,PTBA,2045,771177
Pierce County,Sound Transit,2045,998040
Snohomish County,Cities,2045,684310
Snohomish County,Unincorp.,2045,462281
Snohomish County,Total,2045,1146591
Snohomish County,PTBA,2045,819310
Snohomish County,Sound Transit,2045,699443
Snohomish County,City Transit,2045,179671
King County,Cities,2050,2702610
King County,Unincorp.,2050,284882
King County,Total,2050,2987492
King County,PTBA,2050,2986514
King County,Sound Transit,2050,2700573
Kitsap County,Cities,2050,124031
Kitsap County,Unincorp.,2050,225729
Kitsap County,Total,2050,349760
Kitsap County,PTBA,2050,349753
Pierce County,Cities,2050,728289
Pierce County,Unincorp.,2050,474487
Pierce County,Total,2050,1202776
Pierce County,PTBA,2050,810165
Pierce County,Sound Transit,2050,1045598
Snohomish County,Cities,2050,725516
Snohomish County,Unincorp.,2050,480505
Snohomish County,Total,2050,1206021
Snohomish County,PTBA,2050,861111
Snohomish County,Sound Transit,2050,737650
Snohomish County,City Transit,2050,191660
