County,Tax Base Category,Year,Value
King County,Cars and Gas Trucks,1986,1089074.047
Kitsap County,Population,1986,168621.7111
Kitsap County,Employment,1986,53028.21162
Kitsap County,Retail Sales (nominal),1986,797821640.4
Kitsap County,Cars and Gas Trucks,1986,118161.6885
Pierce County,Population,1986,534073.4023
Pierce County,Employment,1986,163865.2885
Pierce County,Retail Sales (nominal),1986,3243008671.0
Pierce County,Cars and Gas Trucks,1986,363510.587
Snohomish County,Population,1986,387786.5471
Snohomish County,Employment,1986,117261.39910000001
Snohomish County,Retail Sales (nominal),1986,2501653286.0
Snohomish County,Cars and Gas Trucks,1986,320852.2081
4-County regional Totals,Personal Income (nominal),1987,44649314040.0
4-County regional Totals,Population,1987,2524600.0
4-County regional Totals,Employment,1987,1163703.33
4-County regional Totals,Retail Sales (nominal),1987,22348754800.0
4-County regional Totals,Motor Fuel (gal.),1987,1330405782.0
4-County regional Totals,Cars and Gas Trucks,1987,1991591.147
4-County regional Totals,Diesel,1987,31.18185516
4-County regional Totals,Total Registrations (000s),1987,2022773.003
King County,Population,1987,1391893.192
King County,Employment,1987,808781.1873000001
King County,Retail Sales (nominal),1987,15120415980.0
King County,Cars and Gas Trucks,1987,1146079.729
Kitsap County,Population,1987,169326.8437
Kitsap County,Employment,1987,55577.66417
Kitsap County,Retail Sales (nominal),1987,871521512.0
Kitsap County,Cars and Gas Trucks,1987,124704.18909999999
Pierce County,Population,1987,542598.5227999999
Pierce County,Employment,1987,170943.57400000002
Pierce County,Retail Sales (nominal),1987,3495315767.0
Pierce County,Cars and Gas Trucks,1987,377119.47579999996
Snohomish County,Population,1987,400684.577
Snohomish County,Employment,1987,128400.90430000001
Snohomish County,Retail Sales (nominal),1987,2861501537.0
Snohomish County,Cars and Gas Trucks,1987,343687.7532
4-County regional Totals,Personal Income (nominal),1988,48492813580.0
4-County regional Totals,Population,1988,2588616.0
4-County regional Totals,Employment,1988,1229383.314
4-County regional Totals,Retail Sales (nominal),1988,24179122370.0
4-County regional Totals,Motor Fuel (gal.),1988,1393325956.0
4-County regional Totals,Cars and Gas Trucks,1988,2040183.317
4-County regional Totals,Diesel,1988,32.21961799
4-County regional Totals,Total Registrations (000s),1988,2072402.935
King County,Population,1988,1418830.737
King County,Employment,1988,849268.698
King County,Retail Sales (nominal),1988,16260573730.0
King County,Cars and Gas Trucks,1988,1167594.311
Kitsap County,Population,1988,176588.245
Kitsap County,Employment,1988,59001.26135
Kitsap County,Retail Sales (nominal),1988,934692311.4
Kitsap County,Cars and Gas Trucks,1988,127938.496
Pierce County,Population,1988,553850.6698
Pierce County,Employment,1988,178952.57259999998
Pierce County,Retail Sales (nominal),1988,3816815762.0
Pierce County,Cars and Gas Trucks,1988,388794.5725
Snohomish County,Population,1988,414945.942
Snohomish County,Employment,1988,142160.7822
Snohomish County,Retail Sales (nominal),1988,3167040565.0
Snohomish County,Cars and Gas Trucks,1988,355855.9377
4-County regional Totals,Personal Income (nominal),1989,53650250780.0
4-County regional Totals,Population,1989,2664483.0
4-County regional Totals,Employment,1989,1303741.6439999999
4-County regional Totals,Retail Sales (nominal),1989,27101605740.0
4-County regional Totals,Motor Fuel (gal.),1989,1445454505.0
4-County regional Totals,Cars and Gas Trucks,1989,2125713.961
4-County regional Totals,Diesel,1989,37.79687929
4-County regional Totals,Total Registrations (000s),1989,2163510.84
King County,Population,1989,1450374.447
King County,Employment,1989,898500.6140000001
King County,Retail Sales (nominal),1989,18176951610.0
King County,Cars and Gas Trucks,1989,1214103.9510000001
Kitsap County,Population,1989,182050.9541
Kitsap County,Employment,1989,61015.92904
Kitsap County,Retail Sales (nominal),1989,1049021741.9999999
Kitsap County,Cars and Gas Trucks,1989,135240.6956
Pierce County,Population,1989,568013.1788
Pierce County,Employment,1989,186502.7832
Pierce County,Retail Sales (nominal),1989,4154396184.0
Pierce County,Cars and Gas Trucks,1989,403569.74350000004
Snohomish County,Population,1989,434863.5385
Snohomish County,Employment,1989,157722.31769999999
Snohomish County,Retail Sales (nominal),1989,3721236201.0
Snohomish County,Cars and Gas Trucks,1989,372799.57050000003
4-County regional Totals,Personal Income (nominal),1990,59680606820.0
4-County regional Totals,Population,1990,2748867.0
4-County regional Totals,Employment,1990,1366815.0
4-County regional Totals,Retail Sales (nominal),1990,30211792180.0
4-County regional Totals,Motor Fuel (gal.),1990,1471259920.0
4-County regional Totals,Cars and Gas Trucks,1990,2217184.714
4-County regional Totals,Diesel,1990,49.36110037
4-County regional Totals,Total Registrations (000s),1990,2266545.815
King County,Population,1990,1490370.881
King County,Employment,1990,936414.553
King County,Retail Sales (nominal),1990,20182769830.0
King County,Cars and Gas Trucks,1990,1261261.704
Kitsap County,Population,1990,186797.85820000002
Kitsap County,Employment,1990,65180.72678999999
Kitsap County,Retail Sales (nominal),1990,1238408220.0
Kitsap County,Cars and Gas Trucks,1990,142683.9764
Pierce County,Population,1990,582598.5666
Pierce County,Employment,1990,195542.1804
Pierce County,Retail Sales (nominal),1990,4506612003.0
Pierce County,Cars and Gas Trucks,1990,423699.0027
Snohomish County,Population,1990,456659.4561
Snohomish County,Employment,1990,169677.5399
Snohomish County,Retail Sales (nominal),1990,4284002129.0000005
Snohomish County,Cars and Gas Trucks,1990,389540.031
4-County regional Totals,Personal Income (nominal),1991,64557952450.0
4-County regional Totals,Population,1991,2833057.0
4-County regional Totals,Employment,1991,1375930.0
4-County regional Totals,Retail Sales (nominal),1991,32029900520.0
4-County regional Totals,Motor Fuel (gal.),1991,1500976882.0
4-County regional Totals,Cars and Gas Trucks,1991,2301610.229
4-County regional Totals,Diesel,1991,55.08016973
